Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,CUSIP,Exchange,Location,Currency,Market Currency
BWP,BWP TRUST,Equity,0.12,3.90,"638,356.00","2,489,588.40","2,489,588.40",Real Estate,6127453,AU000000BWP3,S61274536,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
WPR,WAYPOINT REIT STAPLED UNITS LTD,Equity,0.12,2.74,"895,205.00","2,452,861.70","2,452,861.70",Real Estate,BLBQ285,AU0000088064,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CLW,CHARTER HALL LONG WALE REIT STAPLE,Equity,0.12,4.42,"550,559.00","2,433,470.78","2,433,470.78",Real Estate,BDB46J2,AU000000CLW0,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
NSR,NATIONAL STORAGE REIT STAPLED UNIT,Equity,0.12,1.92,"1,259,360.00","2,411,674.40","2,411,674.40",Real Estate,BGP6479,AU000000NSR2,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
BAP,BAPCOR LTD,Equity,0.11,5.68,"416,750.00","2,367,140.00","2,367,140.00",Consumer Discretionary,BLD2CY7,AU000000BAP9,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
IRE,IRESS LTD,Equity,0.11,10.58,"221,910.00","2,347,807.80","2,347,807.80",Information Technology,6297497,AU000000IRE2,S62974977,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
VOC,VOCUS GROUP LTD,Equity,0.11,2.92,"789,800.00","2,306,216.00","2,306,216.00",Communication,B3WS5W9,AU000000VOC6,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
VEA,VIVA ENERGY GROUP LTD,Equity,0.11,1.66,"1,361,412.00","2,253,136.86","2,253,136.86",Energy,BYQM3N1,AU0000016875,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
MP1,MEGAPORT LTD,Equity,0.11,13.73,"163,734.00","2,248,067.82","2,248,067.82",Information Technology,BZ5ZWZ3,AU000000MP15,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CSR,CSR LTD,Equity,0.10,3.50,"617,255.00","2,160,392.50","2,160,392.50",Materials,6238645,AU000000CSR5,S62386453,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
IFL,IOOF HOLDINGS LTD,Equity,0.10,5.13,"416,714.00","2,137,742.82","2,137,742.82",Financials,6714394,AU000000IFL2,S67143941,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
CMW,CROMWELL PROPERTY GROUP STAPLED UN,Equity,0.10,0.89,"2,394,926.00","2,119,509.51","2,119,509.51",Real Estate,6225476,AU000000CMW8,S62254768,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
PRU,PERSEUS MINING LTD,Equity,0.10,1.44,"1,465,121.00","2,102,448.64","2,102,448.64",Materials,B02FBC1,AU000000PRU3,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
NAN,NANOSONICS LTD,Equity,0.10,6.34,"329,063.00","2,086,259.42","2,086,259.42",Health Care,B1WF979,AU000000NAN9,--,ASX - All Markets,Australia,Australian Dollar,Australian Dollar
